Latitude,Longitude,facility_id,facility_label,geometry
34.87070743,-85.50645987,080187cc-4259-4c8f-acff-5edf5c1e85ca,WTS,POINT (-85.50645987 34.87070743)
34.36174834,-84.04832548,4da9df31-971b-4fdf-836a-c0811cd43188,WTS,POINT (-84.04832548 34.36174834)
34.35418747,-84.05695095,3ccad203-fa7a-4e4c-a8f0-c50f7034843d,WTS,POINT (-84.05695095 34.35418747)
33.98282881,-84.5298746,4e95562b-b784-4c48-b9b8-d38eb3bcf60a,WTS,POINT (-84.5298746 33.98282881)
33.91726308,-84.27510745,7e6d08b4-c122-4905-ae05-e76f553b4be4,WTS,POINT (-84.27510745 33.91726308)
31.54067067,-84.09908504,5cc4334d-adaf-4b49-8d56-3b3bde68aa41,WTS,POINT (-84.09908504 31.54067067)
32.07693595,-81.08163056,6e4fe91c-1174-4b68-80f5-7d0c1e2a6d43,WTS,POINT (-81.08163056 32.07693595)
33.73209952,-84.56873667,20c93afe-f581-4b6f-914b-5cf860aae911,WTS,POINT (-84.56873667 33.73209952)
32.13559499,-81.92121727,5b7d7031-4e35-40ff-8e75-742148c0e468,WTS,POINT (-81.92121727 32.13559499)
33.78072323,-84.59812731,536faa2a-53fa-4de8-8502-b671c80b21f6,WTS,POINT (-84.59812731 33.78072323)
34.89643171,-84.26266761,32cbde06-4adb-43c8-844a-f974d774a039,WTS,POINT (-84.26266761 34.89643171)
34.66446919,-84.49960167,66f55e9f-ad0c-41f7-a39f-24de067dedb4,WTS,POINT (-84.49960167 34.66446919)
34.89756837,-84.35314344,e2e391a0-0e58-4b64-8739-e5bfabf5e6aa,WTS,POINT (-84.35314344 34.89756837)
31.74300713,-83.19088322,e0ecadd8-91ca-4817-85a4-46e3f54f8c6e,WTS,POINT (-83.19088322 31.74300713)
34.20111689,-84.13768457,ee479af6-e004-4cd6-b622-004b7f6b83f3,WTS,POINT (-84.13768457 34.20111689)
33.67002522,-84.43087669,fe580478-7626-4a76-a327-4321f40f9755,WTS,POINT (-84.43087669 33.67002522)
34.12639278,-83.71775848,555534f6-9ee1-40e5-9038-e411aaae3bb0,WTS,POINT (-83.71775848 34.12639278)
33.7413501,-84.5646634,914677a2-1c14-491c-aee5-baabec5951b2,WTS,POINT (-84.5646634 33.7413501)
33.82799245,-84.50547292,7d7dcb08-e0c2-4568-922c-1a3cf0ae209b,WTS,POINT (-84.50547292 33.82799245)
