City,State,Zip Code,Latitude,Longitude,Landfill ID,DDRT_ID,main_landfill_ID,geometry,facility_id,facility_label,x,y,PFAS_CT_2020
Beach,ND,58621,46.901818,-103.9866,,c10cee76-4acd-4979-9483-d01dcf67ad09,c10cee76-4acd-4979-9483-d01dcf67ad09,POINT (-103.9866 46.901818),c10cee76-4acd-4979-9483-d01dcf67ad09,MLF,-103.9866,46.901818,22.141205491999997
Beulah,ND,58523,47.273686,-101.744553,,49fe0eea-6f96-43c2-84c1-3170c4042cd3,49fe0eea-6f96-43c2-84c1-3170c4042cd3,POINT (-101.744553 47.273686),49fe0eea-6f96-43c2-84c1-3170c4042cd3,MLF,-101.744553,47.273686,63.490787692
Ellendale,ND,58436,46.045579,-98.547621,,85b71919-9bd9-4ba1-b964-a9c6f165e390,85b71919-9bd9-4ba1-b964-a9c6f165e390,POINT (-98.547621 46.045579),85b71919-9bd9-4ba1-b964-a9c6f165e390,MLF,-98.547621,46.045579,11.345313208
Grafton,ND,58237,48.430771,-97.400596,,4dc2b560-1b36-498e-99d9-cf48dd93d5f0,4dc2b560-1b36-498e-99d9-cf48dd93d5f0,POINT (-97.400596 48.430771),4dc2b560-1b36-498e-99d9-cf48dd93d5f0,MLF,-97.400596,48.430771,86.675654948
Harvey,ND,58341,47.77058,-99.935143,,3b09b07d-68d8-49bd-9fba-592742cb563c,3b09b07d-68d8-49bd-9fba-592742cb563c,POINT (-99.935143 47.77058),3b09b07d-68d8-49bd-9fba-592742cb563c,MLF,-99.935143,47.77058,28.325534451000003
Jamestown,ND,58401,46.890153,-98.667071,,363c1bb1-1e25-4a44-a4da-8ced36694184,363c1bb1-1e25-4a44-a4da-8ced36694184,POINT (-98.667071 46.890153),363c1bb1-1e25-4a44-a4da-8ced36694184,MLF,-98.667071,46.890153,116.414331705
Kenmare,ND,58746,48.696597,-102.082409,,4e805693-3859-4af9-a077-5fab4ec0e964,4e805693-3859-4af9-a077-5fab4ec0e964,POINT (-102.082409 48.696597),4e805693-3859-4af9-a077-5fab4ec0e964,MLF,-102.082409,48.696597,62.422935863
Langdon,ND,58249,48.775628,-98.353121,,adae1f4b-cbfd-4b97-ad5a-cdd62c92b735,adae1f4b-cbfd-4b97-ad5a-cdd62c92b735,POINT (-98.353121 48.775628),adae1f4b-cbfd-4b97-ad5a-cdd62c92b735,MLF,-98.353121,48.775628,91.089166544
Park River,ND,58270,48.340889,-97.917951,,c27a6e31-0838-43a9-a695-2bff356d2817,c27a6e31-0838-43a9-a695-2bff356d2817,POINT (-97.917951 48.340889),c27a6e31-0838-43a9-a695-2bff356d2817,MLF,-97.917951,48.340889,37.829125227
Rugby,ND,58368,48.371017,-99.993751,,d71c576b-0fb3-4140-acb2-dc8510e49501,d71c576b-0fb3-4140-acb2-dc8510e49501,POINT (-99.993751 48.371017),d71c576b-0fb3-4140-acb2-dc8510e49501,MLF,-99.993751,48.371017,124.021364787
Valley City,ND,58072,46.906105,-98.040634,,e0651bd6-f794-4771-ac75-271d27b83419,e0651bd6-f794-4771-ac75-271d27b83419,POINT (-98.040634 46.906105),e0651bd6-f794-4771-ac75-271d27b83419,MLF,-98.040634,46.906105,79.41922842000001
Angel Fire,NM,87710,36.39034901,-105.2816076,,5a72472d-e3bd-45e0-bc96-677056f03962,5a72472d-e3bd-45e0-bc96-677056f03962,POINT (-105.2816076 36.39034901),5a72472d-e3bd-45e0-bc96-677056f03962,MLF,-105.2816076,36.39034901,257.785559381
Eagle Nest,NM,87718,36.49055874,-105.2917531,,8c585275-87e5-4ab8-ac20-c610aedba6d7,8c585275-87e5-4ab8-ac20-c610aedba6d7,POINT (-105.2917531 36.49055874),8c585275-87e5-4ab8-ac20-c610aedba6d7,MLF,-105.2917531,36.49055874,266.032831031
Thoreau,NM,87323,35.31247091,-108.1629989,,8f8fa09a-e415-475e-9552-0994c99fe97e,8f8fa09a-e415-475e-9552-0994c99fe97e,POINT (-108.1629989 35.31247091),8f8fa09a-e415-475e-9552-0994c99fe97e,MLF,-108.1629989,35.31247091,301.621813738
Aberdeen,SD,57402,45.47116,-98.619081,,abf4f929-f78e-4150-8db5-ffa9f439222c,abf4f929-f78e-4150-8db5-ffa9f439222c,POINT (-98.619081 45.47116),abf4f929-f78e-4150-8db5-ffa9f439222c,MLF,-98.619081,45.47116,161.109591687
Belle Fourche,SD,57717,44.678533,-103.849583,,70f8b8b9-d380-421b-b3cb-8229c9707bc7,70f8b8b9-d380-421b-b3cb-8229c9707bc7,POINT (-103.849583 44.678533),70f8b8b9-d380-421b-b3cb-8229c9707bc7,MLF,-103.849583,44.678533,239.264406175
Bison,SD,57620,45.385973,-102.571368,,99787dc3-5080-4920-94b5-b27b1d60474b,99787dc3-5080-4920-94b5-b27b1d60474b,POINT (-102.571368 45.385973),99787dc3-5080-4920-94b5-b27b1d60474b,MLF,-102.571368,45.385973,57.406757244
Brookings,SD,57006,44.301854,-96.78845,,4a2c36ff-78f8-479f-96f9-4ce5c6137c67,4a2c36ff-78f8-479f-96f9-4ce5c6137c67,POINT (-96.78845 44.301854),4a2c36ff-78f8-479f-96f9-4ce5c6137c67,MLF,-96.78845,44.301854,222.321570266
Glenham,SD,57631,45.515345,-100.33469,,ffd7e3c5-0cd7-4f08-a55f-d48fffb99e66,ffd7e3c5-0cd7-4f08-a55f-d48fffb99e66,POINT (-100.33469 45.515345),ffd7e3c5-0cd7-4f08-a55f-d48fffb99e66,MLF,-100.33469,45.515345,77.223417161
Hartford,SD,57033,43.503483,-96.930047,,0df73321-67c1-4d28-9f47-bb207f033b4b,0df73321-67c1-4d28-9f47-bb207f033b4b,POINT (-96.930047 43.503483),0df73321-67c1-4d28-9f47-bb207f033b4b,MLF,-96.930047,43.503483,953.959797756
Mitchell,SD,57301,43.65885,-97.970974,,3c261ee2-9fb0-4be8-a7eb-aa75b6577294,3c261ee2-9fb0-4be8-a7eb-aa75b6577294,POINT (-97.970974 43.65885),3c261ee2-9fb0-4be8-a7eb-aa75b6577294,MLF,-97.970974,43.65885,259.707786743
Pierre,SD,57501,44.3549,-100.315892,,bc517e2a-86de-43f2-95f2-6cda52e71f11,bc517e2a-86de-43f2-95f2-6cda52e71f11,POINT (-100.315892 44.3549),bc517e2a-86de-43f2-95f2-6cda52e71f11,MLF,-100.315892,44.3549,109.870331355
Pukwana,SD,57370,43.82816,-99.2139,,1679ace3-b280-4a0f-9c22-eb67b8cfa3fc,1679ace3-b280-4a0f-9c22-eb67b8cfa3fc,POINT (-99.2139 43.82816),1679ace3-b280-4a0f-9c22-eb67b8cfa3fc,MLF,-99.2139,43.82816,31.508877881
Rapid City,SD,57701,44.029831,-103.191919,,9253f714-99a7-4584-8c1b-08227bbdaf46,9253f714-99a7-4584-8c1b-08227bbdaf46,POINT (-103.191919 44.029831),9253f714-99a7-4584-8c1b-08227bbdaf46,MLF,-103.191919,44.029831,269.905803232
Sisseton,SD,57262,45.625985,-96.945161,,d859be7f-52f9-419d-a5d0-ea3271ad7c52,d859be7f-52f9-419d-a5d0-ea3271ad7c52,POINT (-96.945161 45.625985),d859be7f-52f9-419d-a5d0-ea3271ad7c52,MLF,-96.945161,45.625985,129.549219114
Vermilion,SD,57069,42.831859,-96.973927,,8754be24-f7a8-443f-abea-92aa240c4d64,8754be24-f7a8-443f-abea-92aa240c4d64,POINT (-96.973927 42.831859),8754be24-f7a8-443f-abea-92aa240c4d64,MLF,-96.973927,42.831859,81.14468629999999
Watertown,SD,57201,44.8474,-97.087184,,7969b1d6-5d04-42fd-a5df-f237693a0f52,7969b1d6-5d04-42fd-a5df-f237693a0f52,POINT (-97.087184 44.8474),7969b1d6-5d04-42fd-a5df-f237693a0f52,MLF,-97.087184,44.8474,50.102062196
Logan,UT,84321,41.73461006,-111.8696448,,12a32448-c3f8-4ffc-b4f1-eeda19d92772,12a32448-c3f8-4ffc-b4f1-eeda19d92772,POINT (-111.8696448 41.73461006),12a32448-c3f8-4ffc-b4f1-eeda19d92772,MLF,-111.8696448,41.73461006,446.553821258
Moab,UT,84532,38.56577771,-109.5292408,,50116162-5016-485a-bb1b-97b632d74f59,50116162-5016-485a-bb1b-97b632d74f59,POINT (-109.5292408 38.56577771),50116162-5016-485a-bb1b-97b632d74f59,MLF,-109.5292408,38.56577771,70.36378585
Ogden,UT,84401,41.22960084,-112.0008052,,9af90700-80c0-4193-84d0-046628b664f8,9af90700-80c0-4193-84d0-046628b664f8,POINT (-112.0008052 41.22960084),9af90700-80c0-4193-84d0-046628b664f8,MLF,-112.0008052,41.22960084,1051.567905959
Salt Lake City,UT,84104,40.74957252,-111.973761,,0930426d-4808-4e45-814e-54a3c8f6af4f,0930426d-4808-4e45-814e-54a3c8f6af4f,POINT (-111.973761 40.74957252),0930426d-4808-4e45-814e-54a3c8f6af4f,MLF,-111.973761,40.74957252,2354.300227643
Lander,WY,82520,42.50076742,-108.7773622,,d4815337-516a-42f3-a010-d2d8ea8bbb76,d4815337-516a-42f3-a010-d2d8ea8bbb76,POINT (-108.7773622 42.50076742),d4815337-516a-42f3-a010-d2d8ea8bbb76,MLF,-108.7773622,42.50076742,26.447493109
Lander,WY,82520,42.8270839,-108.7393425,,fe478de2-32bf-4219-b598-731cd7e2defd,fe478de2-32bf-4219-b598-731cd7e2defd,POINT (-108.7393425 42.8270839),fe478de2-32bf-4219-b598-731cd7e2defd,MLF,-108.7393425,42.8270839,232.488236748
Petaluma,CA,94952,38.301381,-122.745807,,1f4f3544-78a1-42fc-99ce-8eecc8fb296b,1f4f3544-78a1-42fc-99ce-8eecc8fb296b,POINT (-122.745807 38.301381),1f4f3544-78a1-42fc-99ce-8eecc8fb296b,MLF,-122.745807,38.301381,1163.263039666
Templeton,CA,93465,35.5204752,-120.6406991,,4f722445-9105-47cc-9dcd-fb6d8591a1e3,4f722445-9105-47cc-9dcd-fb6d8591a1e3,POINT (-120.6406991 35.5204752),4f722445-9105-47cc-9dcd-fb6d8591a1e3,MLF,-120.6406991,35.5204752,366.566221165
Manteca,CA,95336,37.87140189,-121.1829908,,ecf9afd2-4c62-43f6-8b8b-9153ee552c09,ecf9afd2-4c62-43f6-8b8b-9153ee552c09,POINT (-121.1829908 37.87140189),ecf9afd2-4c62-43f6-8b8b-9153ee552c09,MLF,-121.1829908,37.87140189,210.879768079
